comment,album,track_number,channels,sample_rate_hz,size_bytes,bit_depth,frames,genre,error,duration_seconds,title,year,artist,file
Created with Jukka Poikolainen's Easy CD-DA Extractor 4.3.0 (http://www.poikosoft.com),,7,1,44100,17651468,16,8825472,Other,,200.124082,Morning Has Broken,,Cat Stevens,D:\Tim\Personal\Projects\Tim Alarm Clock\Morning Has Broken.wav
                            ,99 Luftballons,1,1,44100,20683372,16,10341504,Other,,234.501224,99 Red Balloons,1984,Nena,D:\Tim\Personal\Projects\Tim Alarm Clock\Nena - 99 Red Balloons.wav
Created with Jukka Poikolainen's Easy CD-DA Extractor 4.3.0 (http://www.poikosoft.com),,7,1,44100,17181388,16,8590464,Other,,194.795102,Track 7,,,D:\Tim\Personal\Projects\Tim Alarm Clock\Old time rock and roll.wav
                              ,,,1,44100,25558462,16,12779136,Other,,289.776327,,,,D:\Tim\Personal\Projects\Tim Alarm Clock\Rocky Soundtrack - Gonna Fly Now (Theme Song).wav
Created with Jukka Poikolainen's Easy CD-DA Extractor 4.3.0 (http://www.poikosoft.com),,4,1,44100,42603724,16,21301632,Other,,483.030204,Track 4,,,D:\Tim\Personal\Projects\Tim Alarm Clock\Stairway to Heaven.wav
Created with Jukka Poikolainen's Easy CD-DA Extractor 4.3.0 (http://www.poikosoft.com),,9,1,44100,32203512,16,16101504,Other,,365.113469,Come Sail Away,,Styx,D:\Tim\Personal\Projects\Tim Alarm Clock\Styx - Come Sail Away.wav
Created with Jukka Poikolainen's Easy CD-DA Extractor 4.3.0 (http://www.poikosoft.com),,15,1,44100,29180656,16,14590080,Other,,330.840816,Mr Roboto,,Styx,D:\Tim\Personal\Projects\Tim Alarm Clock\Styx - Mr Roboto.wav
Advance,Tenacious D,3,1,44100,21881340,16,10940544,Alternative,,248.084898,Tribute,,,D:\Tim\Personal\Projects\Tim Alarm Clock\Tenacious D - Tribute.wav
                              %,                              19__                              %,,1,44100,17951324,16,8975232,Sound Clip,,203.52,Can'tHelpFallingInLoveWithYou UB40                                                        19__                              %,,UB40                                                        19__                              %,D:\Tim\Personal\Projects\Tim Alarm Clock\ub40 - can't help falling in love.wav
                            ,Genius: The Best of Warren Zevon,5,1,44100,17741228,16,8870400,Other,,201.142857,Werewolves of London,2002,Warren Zevon,D:\Tim\Personal\Projects\Tim Alarm Clock\warren zevon - Warewolf in London.wav
"https://www.classicals.de
https://www.gregorquendel.com
© 2024 Gregor Quendel. All rights reserved.",,,1,44100,16940520,16,8470060,,,192.064853,,,,D:\Tim\Personal\Projects\Tim Alarm Clock\wake\bach_gounod_ave_maria.wav
,,,1,44100,18470060,16,9235008,,,209.410612,,,,D:\Tim\Personal\Projects\Tim Alarm Clock\wake\birds.wav
,,,1,44100,8646956,16,4323456,,,98.037551,,,,D:\Tim\Personal\Projects\Tim Alarm Clock\wake\birds_ambiance.wav
,,,1,44100,9584684,16,4792320,,,108.669388,,,,D:\Tim\Personal\Projects\Tim Alarm Clock\wake\calming_rain.wav
,,,1,44100,6299640,16,3149798,,,71.423991,,,,D:\Tim\Personal\Projects\Tim Alarm Clock\wake\cicadas_at_night.wav
,,,1,44100,5438104,16,2719030,,,61.656009,,,,D:\Tim\Personal\Projects\Tim Alarm Clock\wake\forest_birds.wav
,,,1,44100,5301548,16,2650752,,,60.107755,,,,D:\Tim\Personal\Projects\Tim Alarm Clock\wake\frogs_croaking.wav
,,,1,44100,7940160,16,3970058,,,90.023991,,,,D:\Tim\Personal\Projects\Tim Alarm Clock\wake\gentle_rain.wav
,,,1,44100,3181596,16,1590776,,,36.072018,,,,D:\Tim\Personal\Projects\Tim Alarm Clock\wake\morning_birds.wav
,,,1,44100,12899824,16,6449890,,,146.256009,,,,D:\Tim\Personal\Projects\Tim Alarm Clock\wake\ocean_waves.wav
,,,1,44100,6170516,16,3085236,,,69.96,,,,D:\Tim\Personal\Projects\Tim Alarm Clock\wake\rain_and_wind_chimes.wav
,,,1,44100,68089032,16,34044494,,,771.983991,,,,D:\Tim\Personal\Projects\Tim Alarm Clock\wake\summer_evening.wav
,,,1,44100,4544812,16,2272384,,,51.527982,,,,D:\Tim\Personal\Projects\Tim Alarm Clock\wake\wind_chimes.wav
"https://www.classicals.de
https://www.gregorquendel.com
© 2024 Gregor Quendel. All rights reserved.",,,1,44100,4028088,16,2013696,Classical,,45.662041,"Aguado, Dionisio - Guitar Study : Etude No. 27 - Guitar Etudes",2024,Gregor Quendel,D:\Tim\Personal\Projects\Tim Alarm Clock\gentle_alarms\aguado_guitar_etude_no27.wav
"https://www.classicals.de
https://www.gregorquendel.com
© 2025 Gregor Quendel. All rights reserved.",,,1,44100,2787142,16,1393230,Classical,,31.592517,"Beethoven - Für Elise - Bagatelle No. 25 in A Minor, WoO 59",2025,Gregor Quendel,D:\Tim\Personal\Projects\Tim Alarm Clock\gentle_alarms\beethoven_fur_elise_short.wav
"https://www.classicals.de
https://www.gregorquendel.com
© 2025 Gregor Quendel. All rights reserved.",,,1,44100,1006250,16,502784,Classical,,11.400998,"Beethoven - Für Elise - Bagatelle No. 25 in A Minor, WoO 59",2025,Gregor Quendel,D:\Tim\Personal\Projects\Tim Alarm Clock\gentle_alarms\beethoven_fur_elise_very_short.wav
"https://www.classicals.de
https://www.gregorquendel.com
© 2024 Gregor Quendel. All rights reserved.",,,1,44100,2047096,16,1023166,Classical,,23.201043,"Bortolazzi, Bartolomeo - Notturno - Periodical Amusements for the Spanish Guitar, Book No. 13, 4",2024,Gregor Quendel,D:\Tim\Personal\Projects\Tim Alarm Clock\gentle_alarms\bortolazzi_notturno_short.wav
"https://www.classicals.de
https://www.gregorquendel.com
© 2025 Gregor Quendel. All rights reserved.",,,1,44100,4767740,16,2383516,Classical,,54.047982,Burgmüller - 1. La candeur - 25 Etudes faciles et progressives - Op. 100,2025,Gregor Quendel,D:\Tim\Personal\Projects\Tim Alarm Clock\gentle_alarms\burgmuller_la_candeur.wav
"https://www.classicals.de
https://www.gregorquendel.com
© 2024 Gregor Quendel. All rights reserved.",,,1,44100,1527632,16,763476,Classical,,17.312381,"Carcassi, Matteo - Caprice in D-minor - Op. 59, No. 16",2024,Gregor Quendel,D:\Tim\Personal\Projects\Tim Alarm Clock\gentle_alarms\carcassi_caprice_short.wav
"URL: https://www.classicals.de
Publisher: Musopen Kickstarter Recording Project",,,1,44100,3305128,16,1652258,String Quartets,,37.466168,"String Quartet No. 12 in F Major, Op. 96, ""American"" - I. Allegro ma non troppo",,Musopen String Quartet,D:\Tim\Personal\Projects\Tim Alarm Clock\gentle_alarms\dvorak_american_quartet_short.wav
"https://www.classicals.de
https://www.gregorquendel.com
© 2024 Gregor Quendel. All rights reserved.",,,1,44100,2154024,16,1076812,,,24.417506,,,,D:\Tim\Personal\Projects\Tim Alarm Clock\gentle_alarms\fucik_entry_of_gladiators_short.wav
"URL: https://www.classicals.de
Publisher: Musopen Kickstarter Recording Project",,,1,44100,4217136,16,2108294,Classical,,47.80712,"Peer Gynt Suite No. 1, Op. 46 - I. Morning",,Czech National Symphony Orchestra,D:\Tim\Personal\Projects\Tim Alarm Clock\gentle_alarms\grieg_peer_gynt_morning_short.wav
"https://www.classicals.de
https://www.gregorquendel.com
© 2024 Gregor Quendel. All rights reserved.",,,1,44100,1813372,16,906338,Classical,,20.551882,"Knoop, Maria Dolores - Six Waltzes, No. 1 - Arranged for Guitar",2024,Gregor Quendel,D:\Tim\Personal\Projects\Tim Alarm Clock\gentle_alarms\knoop_waltz_no1_short.wav
,,,1,44100,13902928,16,6951442,,,157.62907,,,,D:\Tim\Personal\Projects\Tim Alarm Clock\gentle_alarms\moonshadow.wav
,,,1,44100,562644,16,281300,,,6.378685,,,,D:\Tim\Personal\Projects\Tim Alarm Clock\gentle_alarms\myra_wake_up_little_one.wav
